"08518: Arbeidsledige, etter kvartal og statistikkvariabel"

"kvartal";"Arbeidsledige (1 000 personer)"
"1972K1";24
"1972K2";26
"1972K3";31
"1972K4";31
"1973K1";22
"1973K2";27
"1973K3";30
"1973K4";26
"1974K1";22
"1974K2";22
"1974K3";32
"1974K4";22
"1975K1";27
"1975K2";40
"1975K3";48
"1975K4";45
"1976K1";34
"1976K2";35
"1976K3";35
"1976K4";26
"1977K1";24
"1977K2";35
"1977K3";25
"1977K4";24
"1978K1";30
"1978K2";29
"1978K3";43
"1978K4";36
"1979K1";39
"1979K2";41
"1979K3";40
"1979K4";30
"1980K1";29
"1980K2";27
"1980K3";41
"1980K4";32
"1981K1";35
"1981K2";40
"1981K3";47
"1981K4";36
"1982K1";40
"1982K2";48
"1982K3";57
"1982K4";64
"1983K1";72
"1983K2";75
"1983K3";76
"1983K4";53
"1984K1";66
"1984K2";67
"1984K3";73
"1984K4";51
"1985K1";61
"1985K2";46
"1985K3";65
"1985K4";42
"1986K1";42
"1986K2";40
"1986K3";50
"1986K4";36
"1987K1";52
"1987K2";39
"1987K3";48
"1987K4";42
"1988K1";54
"1988K2";65
"1988K3";75
"1988K4";84
"1989K1";108
"1989K2";104
"1989K3";109
"1989K4";101
"1990K1";124
"1990K2";112
"1990K3";115
"1990K4";97
"1991K1";120
"1991K2";110
"1991K3";123
"1991K4";112
"1992K1";132
"1992K2";126
"1992K3";131
"1992K4";115
"1993K1";135
"1993K2";130
"1993K3";135
"1993K4";109
"1994K1";123
"1994K2";124
"1994K3";117
"1994K4";102
"1995K1";124
"1995K2";115
"1995K3";106
"1995K4";84
"1996K1";117
"1996K2";114
"1996K3";109
"1996K4";92
"1997K1";100
"1997K2";104
"1997K3";92
"1997K4";73
"1998K1";80
"1998K2";83
"1998K3";74
"1998K4";59
"1999K1";69
"1999K2";75
"1999K3";77
"1999K4";74
"2000K1";91
"2000K2";79
"2000K3";82
"2000K4";71
"2001K1";87
"2001K2";84
"2001K3";86
"2001K4";78
"2002K1";97
"2002K2";95
"2002K3";91
"2002K4";87
"2003K1";105
"2003K2";111
"2003K3";112
"2003K4";98
"2004K1";107
"2004K2";111
"2004K3";111
"2004K4";97
"2005K1";110
"2005K2";116
"2005K3";117
"2005K4";98
"2006K1";95
"2006K2";98
"2006K3";81
"2006K4";60
"2007K1";68
"2007K2";69
"2007K3";63
"2007K4";54
"2008K1";64
"2008K2";74
"2008K3";74
"2008K4";71
"2009K1";81
"2009K2";94
"2009K3";83
"2009K4";80
"2010K1";104
"2010K2";108
"2010K3";94
"2010K4";88
"2011K1";87
"2011K2";96
"2011K3";88
"2011K4";84
"2012K1";88
"2012K2";91
"2012K3";84
"2012K4";89
"2013K1";102
"2013K2";104
"2013K3";103
"2013K4";97
"2014K1";100
"2014K2";92
"2014K3";104
"2014K4";98
"2015K1";122
"2015K2";124
"2015K3";128
"2015K4";126
"2016K1";141
"2016K2";134
"2016K3";134
"2016K4";116
"2017K1";122
"2017K2";126
"2017K3";114
"2017K4";105
"2018K1";110
"2018K2";109
"2018K3";114
"2018K4";98
"2019K1";108
"2019K2";97
"2019K3";109
"2019K4";108
"2020K1";103
"2020K2";129
"2020K3";153
"2020K4";137
"2021K1";141
"2021K2";149
"2021K3";123
"2021K4";99
"2022K1";96
"2022K2";98
"2022K3";96
"2022K4";92
"2023K1";110
"2023K2";105
"2023K3";107
"2023K4";106
"2024K1";119
"2024K2";129
